Romania,RO,1,19mil
USA,US,3,330mil
France,FR,1,70mil
Uungary,HU,1,9mil
Canada,CA,3,40mil
China,CN,2,1450mil
Belgium,BE,1,12mil
Egypt,EG,4,110mil
Australia,AU,5,25mil
Germany,DE,2,83mil
India,IN,4,1400mil
Brazil,BR,3,210mil
Japan,JP,2,125mil
SouthKorea,KR,2,51mil
Mexico,MX,3,128mil
Italy,IT,1,60mil
Spain,ES,1,47mil
Russia,RU,4,146mil
Netherlands,NL,1,17mil
Argentina,AR,2,45mil
Sweden,SE,1,10mil
Norway,NO,1,5mil
Finland,FI,1,5mil
Poland,PL,2,38mil
Switzerland,CH,1,8mil
NewZealand,NZ,1,5mil
Portugal,PT,1,10mil
Greece,GR,2,11mil
SouthAfrica,ZA,3,59mil
Turkey,TR,3,84mil
SaudiArabia,SA,3,35mil
Iran,IR,4,83mil
Pakistan,PK,4,220mil
Nigeria,NG,4,206mil
Kenya,KE,2,53mil
Vietnam,VN,2,97mil
Philippines,PH,3,109mil
Malaysia,MY,2,32mil
Thailand,TH,2,70mil